timestamp,external-temperature,longitude,latitude,altitude
2010-03-06 01:00:25,12.0,-111.30119270028194,57.45893130119608,254.13
2010-03-06 04:00:43,9.0,-111.30090839942686,57.45922890090098,269.75
2010-03-06 07:00:53,7.0,-111.29996520052218,57.45960810100832,262.97
2010-03-06 10:00:48,7.0,-111.29988420014016,57.45964830069899,262.48
2010-03-06 13:00:41,5.0,-111.30027619936172,57.45930820046275,270.05
2010-03-06 16:00:47,5.0,-111.29460180000623,57.46065740077819,266.69
2010-03-06 19:00:41,16.0,-111.2947319996436,57.46063280057278,266.07
2010-03-06 22:00:47,16.0,-111.29462279927652,57.4608583004321,254.79
2010-03-07 01:00:48,12.0,-111.29531610055452,57.46069160051698,267.82
2010-03-07 04:00:42,4.0,-111.29556129948004,57.46086860046608,269.48
2010-03-07 07:00:42,5.0,-111.29531130014828,57.46105690127307,271.52
2010-03-07 10:00:42,4.0,-111.2951602996347,57.46099780072228,268.6
2010-03-07 13:00:47,3.0,-111.29516029946288,57.460983300566014,266.07
2010-03-07 16:00:44,6.0,-111.2943836991721,57.4607222005253,258.53
2010-03-07 19:00:47,8.0,-111.29402560077308,57.46066060046741,258.16
2010-03-07 22:00:56,17.0,-111.29004449958596,57.45999720081889,268.53
2010-03-08 01:00:43,13.0,-111.29057679920842,57.459987500985136,268.03
2010-03-08 04:00:54,2.0,-111.29011610002443,57.45995710095478,266.64
2010-03-08 07:00:44,4.0,-111.29040519949336,57.4600537012115,262.15
2010-03-08 10:00:49,5.0,-111.29000500062288,57.460156601140746,266.7
2010-03-08 13:00:41,2.0,-111.2903210004257,57.46035840104582,267.77
2010-03-08 16:00:48,7.0,-111.29026909928191,57.46033330109939,273.12
2010-03-08 19:00:24,11.0,-111.28952040046336,57.46029730039326,266.19
2010-03-08 22:00:26,7.0,-111.28838619931317,57.46126910086385,258.81
2010-03-09 01:00:48,5.0,-111.28822229947936,57.46132840050311,270.02
2010-03-09 04:00:44,2.0,-111.28789200078224,57.46151140125479,273.63
2010-03-09 07:00:30,-2.0,-111.28778440052602,57.461611901079024,260.55
2010-03-09 10:00:49,-5.0,-111.2877602006642,57.46160780082379,266.77
2010-03-09 13:00:44,-8.0,-111.28772510024284,57.461908900521045,267.92
2010-03-09 16:00:47,4.0,-111.2878313999775,57.462040901086574,265.65
2010-03-09 19:00:47,9.0,-111.28732050015188,57.46184590085439,265.27
2010-03-09 22:00:53,13.0,-111.28709519922434,57.461793400641845,264.26
2010-03-10 01:00:47,6.0,-111.28750189950736,57.46215890070744,267.94
2010-03-10 04:00:55,-1.0,-111.28730799955936,57.46236300043704,277.17
2010-03-10 07:00:50,2.0,-111.28718979989075,57.46232440078073,263.3
2010-03-10 10:00:44,4.0,-111.28716059976378,57.46242840087804,264.22
2010-03-10 13:00:42,2.0,-111.2877454995806,57.46241750094914,263.81
2010-03-10 16:00:47,4.0,-111.28684570014042,57.46239480115035,266.61
2010-03-10 19:00:47,7.0,-111.28351630033976,57.462177201260914,265.46
2010-03-10 22:00:55,9.0,-111.28682570040274,57.463113100720925,259.45
2010-03-11 01:00:53,9.0,-111.28658250069392,57.46324840112441,260.52
2010-03-11 04:00:48,5.0,-111.2873878001544,57.462793200491255,267.95
2010-03-11 07:00:41,3.0,-111.2875127999615,57.462682200812544,263.98
2010-03-11 10:00:44,1.0,-111.2871613997569,57.46237800066322,265.43
2010-03-11 13:00:43,-1.0,-111.28715530056712,57.46239500115854,270.15
2010-03-11 16:00:47,3.0,-111.28711459917284,57.46215310068938,260.06
2010-03-11 19:00:43,11.0,-111.2871127997654,57.46210770086668,268.02
2010-03-11 22:00:48,11.0,-111.28388989935073,57.4622360007808,266.03
2010-03-12 01:01:11,7.0,-111.28630710050872,57.46305060045544,263.9
2010-03-12 04:00:48,7.0,-111.28690899977563,57.46274160074599,268.06
2010-03-12 07:00:48,6.0,-111.28648269945325,57.4626840006473,267.4
2010-03-12 10:00:26,2.0,-111.19851639967456,57.47791010106089,261.62
2010-03-12 13:00:48,1.0,-111.2004446007888,57.48228940083824,266.12
2010-03-12 16:00:53,4.0,-111.21871720056158,57.49189420057389,259.05
2010-03-12 19:00:51,9.0,-111.21975070021374,57.49095480078636,291.34
2010-03-12 22:01:42,11.0,-111.21907469964177,57.4909671006514,282.17
2010-03-13 01:01:46,8.0,-111.21897869941142,57.49117340121449,284.12
2010-03-13 04:01:24,6.0,-111.2191123005366,57.4913072008697,279.37
2010-03-13 07:00:44,6.0,-111.21796210033904,57.49145210055768,254.86
2010-03-13 10:00:49,4.0,-111.21775889948562,57.4918195006367,264.35
2010-03-13 13:00:48,4.0,-111.21765870031211,57.49192760106309,270.91
2010-03-13 16:00:23,5.0,-111.21740980074289,57.492088701169806,252.36
2010-03-13 19:00:26,10.0,-111.21755759935704,57.49202330039999,265.3
2010-03-13 22:00:42,10.0,-111.21742169935938,57.49232630107063,254.47
2010-03-14 01:00:42,7.0,-111.21862630065122,57.49234140100958,291.34
2010-03-14 04:00:41,3.0,-111.21852149940874,57.49359950063471,279.13
2010-03-14 07:00:26,0.0,-111.2191799000858,57.49387710051334,246.39
2010-03-14 10:00:41,-3.0,-111.21943410003188,57.49352590079896,255.9
2010-03-14 13:00:29,-4.0,-111.2195102002124,57.493519900862914,274.11
2010-03-14 16:00:53,-2.0,-111.21963620026204,57.49362050101965,281.2
2010-03-14 19:00:47,10.0,-111.22015850052398,57.4936617012773,277.09
2010-03-14 22:01:18,10.0,-111.21976240044556,57.49345910099914,278.42
