name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2007-11-16T00:00:00,5.4,0.8,-11,29.65,0,0,,0,0,,27.2,5,1014.9,,10,,,,,Clear,clear-night,"16089099999,16090099999"
"trento, italy",2007-11-16T01:00:00,-11.8,-22.5,-16.9,65.76,0,0,,0,0,,35.4,358,,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-11-16T02:00:00,4.5,0.2,-11.7,29.82,0,0,,0,0,,21.8,4,1015.9,,10,,,,,Clear,clear-night,"16089099999,16090099999"
"trento, italy",2007-11-16T03:00:00,-12,-22.8,-17.7,62.49,0,0,,0,0,,34.6,10,1016.9,0,39.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-11-16T04:00:00,-12,-22.8,-17.7,62.55,0,0,,0,0,,35.3,359,,0,39.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-11-16T05:00:00,-12.2,-22.6,-17.7,63.21,0,0,,0,0,,31.8,358,1011.2,0,38.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-11-16T06:00:00,-11.7,-21.8,-18,59.63,0,0,,0,0,,30.3,358,1016.1,0,36.9,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2007-11-16T07:00:00,-11.2,-20.4,-18.3,55.47,0,0,,0,0,,26.1,351,1022,0,38.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T08:00:00,-10.1,-18.6,-18,52.24,0,0,,0,0,,23.3,350,1017.7,0,36.2,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T09:00:00,-8.8,-17.1,-17.9,47.74,0,0,,0,0,,24.6,6,1018.5,0,36.2,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T10:00:00,-7.8,-16.1,-17.8,44.68,0,0,,0,0,,26.2,356,1023,2,39,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T11:00:00,-7.2,-14.8,-17.9,42.22,0,0,,0,0,,23.2,6,1018.2,40,36.2,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T12:00:00,-6.3,-12.5,-16.6,43.83,0,0,,0,0,,16.7,334,1018.2,30,53.6,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T13:00:00,-5.9,-13.4,-17,41.21,0,0,,0,0,,24.6,1,1021,29.5,39,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T14:00:00,-5.1,-11.1,-15.9,42.52,0,0,,0,0,,16.6,331,1017.4,30,62.3,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T15:00:00,-4.9,-9.6,-15.7,42.53,0,0,,0,0,,11.5,353,1016.8,30,36.2,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T16:00:00,-5.1,-9.4,-15.6,43.47,0,0,,0,0,,10.1,339,1019,29.4,38.8,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-11-16T17:00:00,-5.7,-10.6,-14.7,49.13,0,0,,0,0,,11.5,334,1017,0,36.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
