name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2008-02-06T00:00:00,-2.6,-6.1,-6.5,74.49,0,0,,0,145.78,,9,215,1026.1,0,73.7,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-06T01:00:00,-2.7,-6.1,-6.2,76.55,0,0,,0,145.69,,8.9,226,,37.8,71.4,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-06T02:00:00,-2.7,-6.2,-5.8,78.9,0,0,,0,145.61,,9.1,188,1026.1,30,73.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-06T03:00:00,-2.8,-6.8,-7.7,69,0,0,,0,145.53,,10.7,197,1026.1,10,68.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-06T04:00:00,-2.2,-5.7,-7.6,66.83,0,0,,0,145.45,,9,202,,28.3,66.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-06T05:00:00,-2.2,-5,-7.7,66.08,0,0,,0,145.37,,7.2,199,1023.5,30,66.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-06T06:00:00,-2.4,-6.6,-7.9,66.29,0,0,,0,145.29,,11.4,190,1024.6,60,63.8,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T07:00:00,-1.6,-4.7,-7.4,64.54,0,0,,0,145.2,,8.3,207,1027.1,40.7,68.6,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T08:00:00,-1.6,-4.7,-7,66.71,0,0,,0,145.12,,8.3,198,1025.2,60.9,66.6,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T09:00:00,-1.6,-5.2,-7.2,65.63,0,0,,0,144.8,,9.8,198,1025.4,77.2,66.7,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T10:00:00,-2.3,-5.6,-8.6,62.09,0,0,,0,144.47,,8.5,217,,33.1,71.8,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999,16582099999"
"trento, italy",2008-02-06T11:00:00,-0.5,-3.3,-6.8,62.39,0,0,,0,144.14,,8.2,215,1024.6,12.7,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T12:00:00,-0.4,-3.2,-6.9,61.42,0,0,,0,143.82,,8.2,241,1024.6,11.8,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T13:00:00,1.1,1.1,-6.7,56.01,0,0,,0,143.49,,0.7,245,1025.1,11.2,64.4,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T14:00:00,1.7,1.7,-8.3,47.56,0,0,,0,143.16,,3.8,358,1022,0,55.9,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999,16582099999"
"trento, italy",2008-02-06T15:00:00,1.6,-1.1,-7.5,50.93,0,0,,0,142.83,,9.1,346,1022.4,0,44.8,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T16:00:00,2.1,-1.6,-7.5,49.19,0,0,,0,142.51,,13.7,74,1023,0,46.2,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-06T17:00:00,-0.3,-5.2,-7.6,57.88,0,0,,0,142.18,,17.5,11,1022.8,12.4,45.9,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T18:00:00,-1,-6,-4.2,79.2,0,0,,0,141.85,,16.8,356,1022.8,12.4,54.9,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T19:00:00,-1.3,-6.9,-5.9,71.06,0,0,,0,141.53,,19.6,348,1024,9.4,54.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T20:00:00,-1.4,-7.3,-8.8,56.94,0,0,,0,141.2,,22,1,1024.8,10,56.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16582099999"
"trento, italy",2008-02-06T21:00:00,-1.3,-7.4,-9.8,52.53,0,0,,0,140.87,,23.4,360,1025.5,10,56.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16582099999"
"trento, italy",2008-02-06T22:00:00,-1.6,-7.5,-9.8,53.68,0,0,,0,140.55,,21.4,351,1026.1,9.4,54.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-06T23:00:00,-2.3,-8.2,-9.6,57.17,0,0,,0,140.22,,20.7,357,1025.8,0,56.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16582099999"
"trento, italy",2008-02-07T00:00:00,-2.7,-9.6,-8.8,63.26,0,0,,0,139.89,,26.4,359,1025.1,0,59,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-07T01:00:00,-3.6,-10.2,-10.1,60.55,0,0,,0,139.57,,22.7,359,,0,57.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-07T02:00:00,-3.1,-9.6,-10.9,55.1,0,0,,0,139.24,,23.1,358,1026.1,0,59,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-07T03:00:00,-3.7,-11.9,-10.9,57.4,0,0,,0,138.91,,35,359,1026.1,0,73.7,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16582099999"
"trento, italy",2008-02-07T04:00:00,-3.8,-11.9,-10.9,57.63,0,0,,0,138.59,,34.6,359,,0,71.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-07T05:00:00,-4.6,-12,-9.5,68.91,0,0,,0,138.26,,26.2,358,1025.1,0,71.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999,16582099999"
"trento, italy",2008-02-07T06:00:00,-4.2,-12.4,-9,69.28,0,0,,0,137.93,,33.1,360,1028.1,1.6,68.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-07T07:00:00,-5.1,-14.3,-10,68.46,0,0,,0,137.61,,41.5,354,1031.8,10.5,68.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
"trento, italy",2008-02-07T08:00:00,-4.8,-13.9,-10.4,64.97,0,0,,0,137.28,,41.3,353,1029.6,10,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T09:00:00,-4.8,-13.9,-10.2,65.79,0,0,,0,137.2,,40.6,353,1029.8,9.8,66.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T10:00:00,-4.4,-13.4,-10.9,60.38,0,0,,0,137.11,,40.8,360,1032.9,0.5,69.3,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T11:00:00,-4.2,-13.4,-10.5,61.51,0,0,,0,137.03,,44.4,355,1030.4,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T12:00:00,-3.7,-12.7,-9.9,62.18,0,0,,0,136.95,,43.2,356,1030.4,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T13:00:00,-3.2,-11.9,-10.3,58.24,0,0,,0,136.87,,42.4,360,1032.9,0,69.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T14:00:00,-2.8,-11.1,-11.9,49.52,0,0,,0,136.79,,40.4,357,1029.8,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T15:00:00,-2.6,-10.7,-12,48.27,0,0,,0,136.71,,38.5,355,1029.4,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T16:00:00,-2.8,-9.7,-12.5,47.41,0,0,,0,136.62,,26.4,358,1031.8,0,69.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2008-02-07T17:00:00,-3.3,-11.3,-13.7,44.6,0,0,,0,136.54,,34.4,1,1029.8,0,63.8,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16582099999"
