name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2007-07-16T00:00:00,56,56,47.8,74.04,0,0,,0,0,,19.1,233,1019,0,18.4,,,,,Clear,clear-night,"16022099999,16090099999"
"trento, italy",2007-07-16T01:00:00,54.3,54.3,46.6,75.38,0,0,,0,0,,13.7,213,1020,0,18.4,,,,,Clear,clear-night,"16022099999,16090099999"
"trento, italy",2007-07-16T02:00:00,54,54,48.9,82.88,0,0,,0,0,,10.9,213,,0,18.3,,,,,Clear,clear-night,"16022099999,16090099999,16021099999"
"trento, italy",2007-07-16T03:00:00,53.2,53.2,48.1,82.65,0,0,,0,0,,11.1,216,1020,0,18.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-07-16T04:00:00,52.8,52.8,46.3,78.45,0,0,,0,0,,8.9,206,1019,0,18.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-07-16T05:00:00,52.3,52.3,44.7,75.17,0,0,,0,0,,10.7,214,,0,24.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-07-16T06:00:00,52.6,52.6,40.7,63.86,0,0,,0,0,,16.9,214,1023.1,0,28.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2007-07-16T07:00:00,53.7,53.7,42,64.63,0,0,,0,0,,14.4,214,1022.6,0,38.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-07-16T08:00:00,55,55,40.4,57.77,0,0,,0,0,,9,222,1021,0,40.3,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-07-16T09:00:00,57.2,57.2,45.1,63.84,0,0,,0,0,,7.4,211,1023,0,38.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
