name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2007-06-05T00:00:00,7.4,4.1,7.3,99.56,0,0,,0,0,,19.8,330,1014.9,,0.2,,,,,Clear,fog,"16089099999,16022099999,16090099999"
"trento, italy",2007-06-05T01:00:00,6.9,3.7,6.1,94.99,0,0,,0,0,,17.7,358,1014.9,90,1.2,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-06-05T02:00:00,7.2,4.6,6.1,92.97,0,0,,0,0,,13.8,349,,90.2,19.4,,,,,Overcast,cloudy,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-06-05T03:00:00,7.1,4.4,5.6,90.59,0,0,,0,0,,14.3,9,1014.9,80.2,19.8,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-06-05T04:00:00,7.2,4.1,5.2,87.13,0,0,,0,0,,17.9,9,1014.9,90,19.8,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, italy",2007-06-05T05:00:00,7.4,4.4,5.4,87.18,0,0,,0,0,,17.3,7,,50.6,29,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, italy",2007-06-05T06:00:00,7.5,4.4,6,90.08,0,0,,0,0,,18.5,26,1016.9,61,28,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2007-06-05T07:00:00,8.1,5.6,6.6,90.46,0,0,,0,0,,14.6,360,1016.1,60.1,27.6,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-06-05T08:00:00,8.2,5.3,5.7,84.16,0,0,,0,0,,18.4,10,1015.9,87,29.1,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2007-06-05T09:00:00,9.4,7,5.7,78.15,0,0,,0,0,,16.4,8,1015.4,87.6,27.6,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999,16094099999"
